source_a,source_b,exact_hash_overlap,perceptual_overlap,scene_overlap,acquisition_overlap,acquisition_family_overlap,device_overlap,dataset_overlap,project_history_overlap,model_history_overlap,allowed_cross_role_use,leakage_risk,isolation_decision,evidence
scmos_500ms_current_100,pmrid_official_benchmark_gt_raw,0,not detected,no,no,no,no,no,no,no,conditional,low,DATASET-LEVEL-ISOLATED,Validation audit: zero SHA256/perceptual matches; max correlation 0.3364 and max SSIM 0.3403. Conditional does not promote sCMOS to training.
scmos_500ms_current_100,scmos_other_exposures,not required,not sufficient,unverified,likely,likely,yes,unknown,yes,yes,no,high,SAME-ACQUISITION-FAMILY-NOT-ISOLATED,Same device/acquisition family; exposure folders are not independent scene identifiers.
scmos_500ms_current_100,pmrid4_validation_previews,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,pangan_local_public_samples,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,pmrid4_500ms_exact_copy,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,pmrid7_historical_exposures,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,pmrid4_training_cache,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,real_iccd_evaluation_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,iccd_pir_calibration_outputs,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,scmos_dark_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_500ms_current_100,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
pmrid_official_benchmark_gt_raw,scmos_other_exposures,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,pmrid4_validation_previews,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,pangan_local_public_samples,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,pmrid4_500ms_exact_copy,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,pmrid7_historical_exposures,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,pmrid4_training_cache,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,real_iccd_evaluation_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,iccd_pir_calibration_outputs,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,scmos_dark_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_official_benchmark_gt_raw,pmrid_parent_project_models,not applicable,not applicable,benchmark overlap,benchmark history,benchmark history,same PMRID project,unknown,yes,yes,no,high,MODEL-HISTORY-LEAKAGE-RISK,Parent project contains PMRID code and pretrained model. PMRID-tuned checkpoints cannot provide independent PMRID validation evidence.
pmrid_official_benchmark_gt_raw,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
scmos_other_exposures,pmrid4_validation_previews,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,pangan_local_public_samples,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,pmrid4_500ms_exact_copy,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,pmrid7_historical_exposures,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,pmrid4_training_cache,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,real_iccd_evaluation_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,iccd_pir_calibration_outputs,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,scmos_dark_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_other_exposures,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
pmrid4_validation_previews,pangan_local_public_samples,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_validation_previews,pmrid4_500ms_exact_copy,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_validation_previews,pmrid7_historical_exposures,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_validation_previews,pmrid4_training_cache,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_validation_previews,real_iccd_evaluation_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_validation_previews,iccd_pir_calibration_outputs,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_validation_previews,scmos_dark_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_validation_previews,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_validation_previews,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_validation_previews,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_validation_previews,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
pangan_local_public_samples,pmrid4_500ms_exact_copy,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pangan_local_public_samples,pmrid7_historical_exposures,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pangan_local_public_samples,pmrid4_training_cache,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pangan_local_public_samples,real_iccd_evaluation_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pangan_local_public_samples,iccd_pir_calibration_outputs,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pangan_local_public_samples,scmos_dark_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pangan_local_public_samples,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pangan_local_public_samples,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pangan_local_public_samples,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pangan_local_public_samples,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
pmrid4_500ms_exact_copy,pmrid7_historical_exposures,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_500ms_exact_copy,pmrid4_training_cache,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_500ms_exact_copy,real_iccd_evaluation_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_500ms_exact_copy,iccd_pir_calibration_outputs,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_500ms_exact_copy,scmos_dark_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_500ms_exact_copy,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_500ms_exact_copy,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_500ms_exact_copy,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_500ms_exact_copy,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
pmrid7_historical_exposures,pmrid4_training_cache,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid7_historical_exposures,real_iccd_evaluation_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid7_historical_exposures,iccd_pir_calibration_outputs,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid7_historical_exposures,scmos_dark_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid7_historical_exposures,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid7_historical_exposures,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid7_historical_exposures,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid7_historical_exposures,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
pmrid4_training_cache,real_iccd_evaluation_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_training_cache,iccd_pir_calibration_outputs,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_training_cache,scmos_dark_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_training_cache,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_training_cache,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_training_cache,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid4_training_cache,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
real_iccd_evaluation_frames,iccd_pir_calibration_outputs,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
real_iccd_evaluation_frames,scmos_dark_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
real_iccd_evaluation_frames,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
real_iccd_evaluation_frames,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
real_iccd_evaluation_frames,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
real_iccd_evaluation_frames,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
iccd_pir_calibration_outputs,scmos_dark_frames,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
iccd_pir_calibration_outputs,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
iccd_pir_calibration_outputs,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
iccd_pir_calibration_outputs,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
iccd_pir_calibration_outputs,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
scmos_dark_frames,pmrid_local_historical_training_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_dark_frames,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_dark_frames,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
scmos_dark_frames,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
pmrid_local_historical_training_data,pmrid_noise_calibration_data,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_local_historical_training_data,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_local_historical_training_data,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
pmrid_noise_calibration_data,pmrid_parent_project_models,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,high,DO-NOT-CROSS-USE,No accepted cross-role evidence.
pmrid_noise_calibration_data,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
pmrid_parent_project_models,formal_training_content_placeholder,not assessed,not assessed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,blocking,TRAINING-SOURCE-MISSING,Placeholder has no files and cannot be assigned a data role.
